Index,Tag,X,Y,Delay,Period
0,GroundTop,-3.5,-0.5,0,0
1,Player,0,0,0,0
2,Star,-3.5,0,0,0
3,GroundTop,-3,-0.5,0,0
4,GroundTop,-2.5,-0.5,0,0
5,GroundTop,-2,-1,0,0
6,GroundTop,-1.5,-1,0,0
7,GroundTop,-1,-1,0,0
8,GroundTop,-0.5,-1,0,0
9,GroundTop,0,-1,0,0
10,GroundTop,0.5,-1,0,0
11,GroundTop,1,-1,0,0
12,GroundTop,1.5,-1,0,0
13,GroundTop,3,-1,0,0
14,GroundTop,3.5,-1,0,0
15,GroundTop,4,-1,0,0
16,GroundTop,4.5,-1,0,0
17,GroundTop,-4,0.5,0,0
18,Ground,-4,0,0,0
19,Ground,-4,-0.5,0,0
20,GroundTop,5,0,0,0
21,Ground,5,-0.5,0,0
22,Ground,5,-1,0,0
23,Star,-2.5,0,0,0
24,Star,-2.5,0.5,0,0
25,Star,-1.5,-0.5,0,0
26,Star,-0.5,-0.5,0,0
27,Star,3,-0.5,0,0
28,Star,4,-0.5,0,0
29,Star,4,0,0,0
30,Star,4.5,-0.5,0,0
